station_id,station_name,latitude,longitude,zone,lines,mode,mnlc,masc,station,coverage,source,entries_monday,entries_midweek,entries_friday,entries_saturday,entries_sunday,exits_monday,exits_midweek,exits_friday,exits_saturday,exits_sunday,weekly_total,twelve_week_total,annualised_total
940GZZLUBXN,Brixton,51.462618,-0.114888,2,Victoria,LU,778,BRXu,Brixton LU,Station entry/exit,Gateline,28089,33083,34583,34458,23130,27499,32069,34094,33994,23265,434569,4969807,20168356
940GZZLUBBB,Bromley-by-Bow,51.524839,-0.011538,2/3,District|Hammersmith & City,LU,530,BBBu,Bromley-by-Bow,Station entry/exit,Gateline,5821,6574,6225,4799,3919,5786,6487,6024,4694,3868,80320,918554,3727656
940GZZLUBKH,Buckhurst Hill,51.626605,0.046757,5,167|677|Central|W14,LU,531,BHLu,Buckhurst Hill,Station entry/exit,Gateline,2819,3316,2949,2280,1441,2770,3267,2901,2131,1444,38483,440099,1786001
940GZZLUBTK,Burnt Oak,51.602774,-0.264048,4,Northern,LU,532,BURu,Burnt Oak,Station entry/exit,Gateline,5189,5532,5259,3737,2905,5012,5280,5091,3526,2863,66016,754969,3063800
940GZZLUCAR,Caledonian Road,51.548519,-0.118493,2,Piccadilly,LU,534,CRDu,Caledonian Road,Station entry/exit,Gateline,6906,7686,7687,6178,4603,6500,7241,6993,5692,4477,93818,1072914,4354076
940GZZLUCTN,Camden Town,51.539292,-0.14274,2,Northern,LU,535,CTNu,Camden Town,Station entry/exit,Gateline,23798,26322,31478,33131,27507,24387,27256,32894,42368,28916,405212,4634069,18805872
940GZZLUCWR,Canada Water,51.497931,-0.049405,2,Jubilee,LU,788,CWRu,Canada Water,Station entry/exit,Gateline,13515,15121,15890,16413,11517,13715,15393,16097,15855,11808,206351,2359861,9576731
940GZZLUCYF,Canary Wharf,51.503488,-0.018246,2,Jubilee,LU,852,CWFu,Canary Wharf LU,Station entry/exit,Gateline,47422,56704,44915,38264,26666,49077,58810,46206,39309,26664,665067,7605824,30865778
940GZZLUCGT,Canning Town,51.513584,0.008322,2/3,Jubilee,LU,884,CNTu,Canning Town,Station entry/exit,Gateline,18147,19345,20528,19610,15445,18207,19624,21303,20735,14769,265650,3038019,12328817
940GZZLUCST,Cannon Street,51.51151,-0.090432,1,Circle|District,LU,536,CSTu,Cannon Street LU,Station entry/exit,Gateline,6573,8611,5568,3287,1999,6067,7971,5072,2805,1672,82787,946769,3842155
940GZZLUCPK,Canons Park,51.607701,-0.294693,5,Jubilee,LU,537,CPKu,Canons Park,Station entry/exit,Gateline,3397,3698,3416,2812,1789,3353,3673,3346,2636,1814,44675,510909,2073359
940GZZLUCAL,Chalfont & Latimer,51.667985,-0.560689,8,Metropolitan,LU,539,CLFu,Chalfont & Latimer,Station entry/exit,Gateline,2888,3061,2392,2111,992,2731,2716,2316,2542,1278,34582,395482,1604937
940GZZLUCFM,Chalk Farm,51.544118,-0.153388,2,Northern,LU,540,CHFu,Chalk Farm,Station entry/exit,Gateline,6254,7453,8378,10233,5628,5420,6592,7324,7582,4714,97665,1116915,4532637
940GZZLUCHL,Chancery Lane,51.518247,-0.111583,1,Central,LU,541,CYLu,Chancery Lane,Station entry/exit,Gateline,12649,16649,11084,5046,2511,13410,17917,11915,5349,2477,168141,1922894,7803444
940GZZLUCHX,Charing Cross,51.50741,-0.127277,1,Bakerloo|Northern,LU,718,CHXu,Charing Cross LU,Station entry/exit,Gateline,20406,24918,22836,25975,16870,19519,23622,22049,25557,13263,312094,3569161,14484286
940GZZLUCSM,Chesham,51.705208,-0.611247,9,Metropolitan,LU,543,CHMu,Chesham,Station entry/exit,Gateline,1575,1877,1602,1242,725,1496,1737,1562,1113,679,20834,238257,966889
940GZZLUCWL,Chigwell,51.617916,0.075041,4,167|667|677|Central,LU,544,CHGu,Chigwell,Station entry/exit,Gateline,620,714,581,318,212,507,595,513,273,209,7160,81880,332284
940GZZLUCWP,Chiswick Park,51.494627,-0.267972,3,District,LU,545,CHPu,Chiswick Park,Station entry/exit,Gateline,3058,3688,3125,2516,1643,3430,4094,3363,2454,1762,44698,511176,2074444
