DATE_NAME,GEOGRAPHY_NAME,GEOGRAPHY_CODE,AGE_NAME,OBS_VALUE
2024,Hammersmith and Fulham,E09000013,Aged 75 - 79 years,4130
2024,Hammersmith and Fulham,E09000013,Aged 80 - 84 years,2691
2024,Hammersmith and Fulham,E09000013,Aged 85 and over,2357
2024,Haringey,E09000014,Aged under 1 year,3069
2024,Haringey,E09000014,Aged 1 - 4 years,11891
2024,Haringey,E09000014,Aged 5 - 9 years,14446
2024,Haringey,E09000014,Aged 10 - 14 years,14841
2024,Haringey,E09000014,Aged 15 - 19 years,14894
2024,Haringey,E09000014,Aged 20 - 24 years,17067
2024,Haringey,E09000014,Aged 25 - 29 years,24310
2024,Haringey,E09000014,Aged 30 - 34 years,24851
2024,Haringey,E09000014,Aged 35 - 39 years,22551
2024,Haringey,E09000014,Aged 40 - 44 years,20072
2024,Haringey,E09000014,Aged 45 - 49 years,18162
2024,Haringey,E09000014,Aged 50 - 54 years,17474
2024,Haringey,E09000014,Aged 55 - 59 years,16770
2024,Haringey,E09000014,Aged 60 - 64 years,13701
2024,Haringey,E09000014,Aged 65 - 69 years,9690
2024,Haringey,E09000014,Aged 70 - 74 years,7349
2024,Haringey,E09000014,Aged 75 - 79 years,5645
2024,Haringey,E09000014,Aged 80 - 84 years,3625
2024,Haringey,E09000014,Aged 85 and over,3442
2024,Harrow,E09000015,Aged under 1 year,3118
2024,Harrow,E09000015,Aged 1 - 4 years,13301
2024,Harrow,E09000015,Aged 5 - 9 years,16658
2024,Harrow,E09000015,Aged 10 - 14 years,16840
2024,Harrow,E09000015,Aged 15 - 19 years,16208
2024,Harrow,E09000015,Aged 20 - 24 years,15876
2024,Harrow,E09000015,Aged 25 - 29 years,21963
2024,Harrow,E09000015,Aged 30 - 34 years,19939
2024,Harrow,E09000015,Aged 35 - 39 years,20824
2024,Harrow,E09000015,Aged 40 - 44 years,20040
2024,Harrow,E09000015,Aged 45 - 49 years,18021
2024,Harrow,E09000015,Aged 50 - 54 years,15944
2024,Harrow,E09000015,Aged 55 - 59 years,15111
2024,Harrow,E09000015,Aged 60 - 64 years,14294
2024,Harrow,E09000015,Aged 65 - 69 years,12368
2024,Harrow,E09000015,Aged 70 - 74 years,10073
2024,Harrow,E09000015,Aged 75 - 79 years,8353
2024,Harrow,E09000015,Aged 80 - 84 years,5651
2024,Harrow,E09000015,Aged 85 and over,6142
2024,Havering,E09000016,Aged under 1 year,3301
2024,Havering,E09000016,Aged 1 - 4 years,13945
2024,Havering,E09000016,Aged 5 - 9 years,18667
2024,Havering,E09000016,Aged 10 - 14 years,17615
2024,Havering,E09000016,Aged 15 - 19 years,15877
2024,Havering,E09000016,Aged 20 - 24 years,14259
2024,Havering,E09000016,Aged 25 - 29 years,17853
2024,Havering,E09000016,Aged 30 - 34 years,19820
2024,Havering,E09000016,Aged 35 - 39 years,21473
2024,Havering,E09000016,Aged 40 - 44 years,20101
2024,Havering,E09000016,Aged 45 - 49 years,17023
2024,Havering,E09000016,Aged 50 - 54 years,16408
2024,Havering,E09000016,Aged 55 - 59 years,16851
2024,Havering,E09000016,Aged 60 - 64 years,15372
2024,Havering,E09000016,Aged 65 - 69 years,12713
2024,Havering,E09000016,Aged 70 - 74 years,10739
2024,Havering,E09000016,Aged 75 - 79 years,10371
2024,Havering,E09000016,Aged 80 - 84 years,6607
2024,Havering,E09000016,Aged 85 and over,7279
2024,Hillingdon,E09000017,Aged under 1 year,4151
2024,Hillingdon,E09000017,Aged 1 - 4 years,16981
2024,Hillingdon,E09000017,Aged 5 - 9 years,21244
2024,Hillingdon,E09000017,Aged 10 - 14 years,20576
2024,Hillingdon,E09000017,Aged 15 - 19 years,20467
2024,Hillingdon,E09000017,Aged 20 - 24 years,23465
2024,Hillingdon,E09000017,Aged 25 - 29 years,25463
2024,Hillingdon,E09000017,Aged 30 - 34 years,25681
2024,Hillingdon,E09000017,Aged 35 - 39 years,26110
2024,Hillingdon,E09000017,Aged 40 - 44 years,25412
2024,Hillingdon,E09000017,Aged 45 - 49 years,21580
2024,Hillingdon,E09000017,Aged 50 - 54 years,19921
2024,Hillingdon,E09000017,Aged 55 - 59 years,18619
2024,Hillingdon,E09000017,Aged 60 - 64 years,16317
2024,Hillingdon,E09000017,Aged 65 - 69 years,12677
2024,Hillingdon,E09000017,Aged 70 - 74 years,9909
2024,Hillingdon,E09000017,Aged 75 - 79 years,8731
2024,Hillingdon,E09000017,Aged 80 - 84 years,5705
2024,Hillingdon,E09000017,Aged 85 and over,6176
2024,Hounslow,E09000018,Aged under 1 year,3675
2024,Hounslow,E09000018,Aged 1 - 4 years,14434
2024,Hounslow,E09000018,Aged 5 - 9 years,18648
2024,Hounslow,E09000018,Aged 10 - 14 years,19207
2024,Hounslow,E09000018,Aged 15 - 19 years,18264
2024,Hounslow,E09000018,Aged 20 - 24 years,18546
2024,Hounslow,E09000018,Aged 25 - 29 years,24074
2024,Hounslow,E09000018,Aged 30 - 34 years,23167
2024,Hounslow,E09000018,Aged 35 - 39 years,25026
2024,Hounslow,E09000018,Aged 40 - 44 years,24189
2024,Hounslow,E09000018,Aged 45 - 49 years,21744
2024,Hounslow,E09000018,Aged 50 - 54 years,19794
2024,Hounslow,E09000018,Aged 55 - 59 years,17443
2024,Hounslow,E09000018,Aged 60 - 64 years,14589
2024,Hounslow,E09000018,Aged 65 - 69 years,11285
2024,Hounslow,E09000018,Aged 70 - 74 years,9126
2024,Hounslow,E09000018,Aged 75 - 79 years,7190
2024,Hounslow,E09000018,Aged 80 - 84 years,4570
2024,Hounslow,E09000018,Aged 85 and over,4453
2024,Islington,E09000019,Aged under 1 year,2259
2024,Islington,E09000019,Aged 1 - 4 years,8352
2024,Islington,E09000019,Aged 5 - 9 years,9597
2024,Islington,E09000019,Aged 10 - 14 years,9556
2024,Islington,E09000019,Aged 15 - 19 years,11811
2024,Islington,E09000019,Aged 20 - 24 years,21963
2024,Islington,E09000019,Aged 25 - 29 years,30637
2024,Islington,E09000019,Aged 30 - 34 years,27717
2024,Islington,E09000019,Aged 35 - 39 years,18901
2024,Islington,E09000019,Aged 40 - 44 years,14327
2024,Islington,E09000019,Aged 45 - 49 years,12184
2024,Islington,E09000019,Aged 50 - 54 years,11865
2024,Islington,E09000019,Aged 55 - 59 years,11967
2024,Islington,E09000019,Aged 60 - 64 years,10258
2024,Islington,E09000019,Aged 65 - 69 years,7083
2024,Islington,E09000019,Aged 70 - 74 years,5314
2024,Islington,E09000019,Aged 75 - 79 years,4307
2024,Islington,E09000019,Aged 80 - 84 years,2576
2024,Islington,E09000019,Aged 85 and over,2350
2024,Kensington and Chelsea,E09000020,Aged under 1 year,1282
2024,Kensington and Chelsea,E09000020,Aged 1 - 4 years,5089
2024,Kensington and Chelsea,E09000020,Aged 5 - 9 years,6329
2024,Kensington and Chelsea,E09000020,Aged 10 - 14 years,6120
2024,Kensington and Chelsea,E09000020,Aged 15 - 19 years,6464
2024,Kensington and Chelsea,E09000020,Aged 20 - 24 years,11870
2024,Kensington and Chelsea,E09000020,Aged 25 - 29 years,14951
2024,Kensington and Chelsea,E09000020,Aged 30 - 34 years,11765
2024,Kensington and Chelsea,E09000020,Aged 35 - 39 years,10119
2024,Kensington and Chelsea,E09000020,Aged 40 - 44 years,9230
2024,Kensington and Chelsea,E09000020,Aged 45 - 49 years,8914
2024,Kensington and Chelsea,E09000020,Aged 50 - 54 years,10100
2024,Kensington and Chelsea,E09000020,Aged 55 - 59 years,10624
2024,Kensington and Chelsea,E09000020,Aged 60 - 64 years,9347
2024,Kensington and Chelsea,E09000020,Aged 65 - 69 years,6648
2024,Kensington and Chelsea,E09000020,Aged 70 - 74 years,5211
2024,Kensington and Chelsea,E09000020,Aged 75 - 79 years,4619
2024,Kensington and Chelsea,E09000020,Aged 80 - 84 years,3098
2024,Kensington and Chelsea,E09000020,Aged 85 and over,2738
2024,Kingston upon Thames,E09000021,Aged under 1 year,1660
2024,Kingston upon Thames,E09000021,Aged 1 - 4 years,7247
2024,Kingston upon Thames,E09000021,Aged 5 - 9 years,10459
2024,Kingston upon Thames,E09000021,Aged 10 - 14 years,11238
2024,Kingston upon Thames,E09000021,Aged 15 - 19 years,10838
2024,Kingston upon Thames,E09000021,Aged 20 - 24 years,11496
2024,Kingston upon Thames,E09000021,Aged 25 - 29 years,11499
2024,Kingston upon Thames,E09000021,Aged 30 - 34 years,12089
2024,Kingston upon Thames,E09000021,Aged 35 - 39 years,12836
2024,Kingston upon Thames,E09000021,Aged 40 - 44 years,13265
2024,Kingston upon Thames,E09000021,Aged 45 - 49 years,12898
2024,Kingston upon Thames,E09000021,Aged 50 - 54 years,11960
2024,Kingston upon Thames,E09000021,Aged 55 - 59 years,10495
2024,Kingston upon Thames,E09000021,Aged 60 - 64 years,8786
2024,Kingston upon Thames,E09000021,Aged 65 - 69 years,7067
2024,Kingston upon Thames,E09000021,Aged 70 - 74 years,6109
2024,Kingston upon Thames,E09000021,Aged 75 - 79 years,5647
2024,Kingston upon Thames,E09000021,Aged 80 - 84 years,3463
2024,Kingston upon Thames,E09000021,Aged 85 and over,3640
2024,Lambeth,E09000022,Aged under 1 year,3271
2024,Lambeth,E09000022,Aged 1 - 4 years,11284
2024,Lambeth,E09000022,Aged 5 - 9 years,13456
2024,Lambeth,E09000022,Aged 10 - 14 years,14170
2024,Lambeth,E09000022,Aged 15 - 19 years,15812
2024,Lambeth,E09000022,Aged 20 - 24 years,25956
2024,Lambeth,E09000022,Aged 25 - 29 years,50052
2024,Lambeth,E09000022,Aged 30 - 34 years,36295
2024,Lambeth,E09000022,Aged 35 - 39 years,24562
2024,Lambeth,E09000022,Aged 40 - 44 years,20427
2024,Lambeth,E09000022,Aged 45 - 49 years,18961
2024,Lambeth,E09000022,Aged 50 - 54 years,18690
2024,Lambeth,E09000022,Aged 55 - 59 years,18746
2024,Lambeth,E09000022,Aged 60 - 64 years,15224
2024,Lambeth,E09000022,Aged 65 - 69 years,10751
2024,Lambeth,E09000022,Aged 70 - 74 years,7104
2024,Lambeth,E09000022,Aged 75 - 79 years,5268
2024,Lambeth,E09000022,Aged 80 - 84 years,3535
2024,Lambeth,E09000022,Aged 85 and over,3356
2024,Lewisham,E09000023,Aged under 1 year,3624
2024,Lewisham,E09000023,Aged 1 - 4 years,14071
2024,Lewisham,E09000023,Aged 5 - 9 years,17200
2024,Lewisham,E09000023,Aged 10 - 14 years,16934
2024,Lewisham,E09000023,Aged 15 - 19 years,16369
2024,Lewisham,E09000023,Aged 20 - 24 years,19255
2024,Lewisham,E09000023,Aged 25 - 29 years,27053
2024,Lewisham,E09000023,Aged 30 - 34 years,30941
2024,Lewisham,E09000023,Aged 35 - 39 years,27523
2024,Lewisham,E09000023,Aged 40 - 44 years,23562
2024,Lewisham,E09000023,Aged 45 - 49 years,20435
2024,Lewisham,E09000023,Aged 50 - 54 years,19132
2024,Lewisham,E09000023,Aged 55 - 59 years,18285
2024,Lewisham,E09000023,Aged 60 - 64 years,15764
2024,Lewisham,E09000023,Aged 65 - 69 years,10668
2024,Lewisham,E09000023,Aged 70 - 74 years,7229
2024,Lewisham,E09000023,Aged 75 - 79 years,5488
2024,Lewisham,E09000023,Aged 80 - 84 years,3749
2024,Lewisham,E09000023,Aged 85 and over,3973
2024,Merton,E09000024,Aged under 1 year,2494
2024,Merton,E09000024,Aged 1 - 4 years,10271
2024,Merton,E09000024,Aged 5 - 9 years,13356
2024,Merton,E09000024,Aged 10 - 14 years,13172
2024,Merton,E09000024,Aged 15 - 19 years,11839
2024,Merton,E09000024,Aged 20 - 24 years,11488
2024,Merton,E09000024,Aged 25 - 29 years,17992
2024,Merton,E09000024,Aged 30 - 34 years,18464
2024,Merton,E09000024,Aged 35 - 39 years,18055
2024,Merton,E09000024,Aged 40 - 44 years,17655
2024,Merton,E09000024,Aged 45 - 49 years,15961
2024,Merton,E09000024,Aged 50 - 54 years,14412
2024,Merton,E09000024,Aged 55 - 59 years,13358
2024,Merton,E09000024,Aged 60 - 64 years,11132
2024,Merton,E09000024,Aged 65 - 69 years,8667
2024,Merton,E09000024,Aged 70 - 74 years,6963
2024,Merton,E09000024,Aged 75 - 79 years,5706
2024,Merton,E09000024,Aged 80 - 84 years,3672
2024,Merton,E09000024,Aged 85 and over,3882
2024,Newham,E09000025,Aged under 1 year,5502
2024,Newham,E09000025,Aged 1 - 4 years,20103
2024,Newham,E09000025,Aged 5 - 9 years,22563
2024,Newham,E09000025,Aged 10 - 14 years,22451
2024,Newham,E09000025,Aged 15 - 19 years,23587
2024,Newham,E09000025,Aged 20 - 24 years,35645
2024,Newham,E09000025,Aged 25 - 29 years,46719
2024,Newham,E09000025,Aged 30 - 34 years,36279
2024,Newham,E09000025,Aged 35 - 39 years,31910
2024,Newham,E09000025,Aged 40 - 44 years,27265
2024,Newham,E09000025,Aged 45 - 49 years,22799
2024,Newham,E09000025,Aged 50 - 54 years,20410
2024,Newham,E09000025,Aged 55 - 59 years,17043
2024,Newham,E09000025,Aged 60 - 64 years,14039
2024,Newham,E09000025,Aged 65 - 69 years,10302
2024,Newham,E09000025,Aged 70 - 74 years,7348
2024,Newham,E09000025,Aged 75 - 79 years,4637
2024,Newham,E09000025,Aged 80 - 84 years,2993
2024,Newham,E09000025,Aged 85 and over,2928
2024,Redbridge,E09000026,Aged under 1 year,4317
2024,Redbridge,E09000026,Aged 1 - 4 years,17579
2024,Redbridge,E09000026,Aged 5 - 9 years,21753
2024,Redbridge,E09000026,Aged 10 - 14 years,21388
2024,Redbridge,E09000026,Aged 15 - 19 years,20729
2024,Redbridge,E09000026,Aged 20 - 24 years,21534
2024,Redbridge,E09000026,Aged 25 - 29 years,27183
2024,Redbridge,E09000026,Aged 30 - 34 years,23969
