mode,mnlc,masc,station,coverage,source,entries_monday,entries_midweek,entries_friday,entries_saturday,entries_sunday,exits_monday,exits_midweek,exits_friday,exits_saturday,exits_sunday,weekly_total,twelve_week_total,annualised_total
LU,609,HRDu,Holloway Road,Station entry/exit,Gateline,8488,9004,8830,6529,4501,8549,8933,8411,6315,4596,110031,1258329,5106522
LU,610,HCHu,Hornchurch,Station entry/exit,Gateline,2658,3045,2718,1746,1050,2705,3091,2730,1849,1115,34977,400009,1623305
LU,611,HNCu,Hounslow Central,Station entry/exit,Gateline,4955,5121,4975,4114,3036,4854,5102,4983,3968,3099,64652,739368,3000487
LU,612,HNEu,Hounslow East,Station entry/exit,Gateline,5234,5438,5461,4800,3711,5388,5805,5665,4843,3798,72629,830601,3370726
LU,613,HNWu,Hounslow West,Station entry/exit,Gateline,4273,4510,4572,4020,3390,4262,4537,4559,4067,3529,59815,684057,2776023
LU,614,HPCu,Hyde Park Corner,Station entry/exit,Gateline,5467,6484,6322,8648,4649,5799,6510,6575,8316,4867,89623,1024938,4159381
LU,615,ICKu,Ickenham,Station entry/exit,Gateline,1396,1540,1444,1035,642,1403,1589,1434,998,659,18397,210391,853803
LU,616,KENu,Kennington,Station entry/exit,Gateline,6409,7706,7905,7655,5085,6322,7573,7707,7650,5261,99829,1141663,4633070
LU,617,KGNu,Kensal Green,Station entry/exit,Gateline,2773,3258,3127,2484,1659,2661,3177,3035,2365,1741,39152,447753,1817060
LU,618,OLYu,Kensington (Olympia),---see LO---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
LU,619,KTNu,Kentish Town,---Station Closed---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
LU,620,KETu,Kenton,Station entry/exit,Gateline,2586,2635,2585,1883,1240,2579,2687,2639,1876,1302,32655,373446,1515511
LU,621,KEWu,Kew Gardens,Station entry/exit,Gateline,5146,7139,5518,6367,4509,5002,7066,5172,6106,4405,84838,970218,3937317
LU,622,KILu,Kilburn,Station entry/exit,Gateline,8469,9432,9434,8229,6020,8444,9343,9153,8061,5956,120090,1373366,5573360
LU,623,KPKu,Kilburn Park,Station entry/exit,Gateline,3932,4428,4517,4222,2800,3790,4287,4274,3983,2744,56406,645071,2617813
LU,625,KXXu,King's Cross St. Pancras,Station entry/exit,Gateline,99202,116586,119487,109891,93329,97322,118815,124388,112291,91954,1554067,17772578,72124262
LU,624,KBYu,Kingsbury,Station entry/exit,Gateline,5795,5983,6072,4341,3229,5754,6002,6072,4314,3157,74689,854155,3466311
LU,626,KNBu,Knightsbridge,Station entry/exit,Gateline,19380,23423,22517,25951,16011,18016,21217,20178,22625,13759,292356,3343428,13568222
LU,627,LGRu,Ladbroke Grove,Station entry/exit,Gateline,8112,8912,9937,11859,5927,8019,8739,9480,11766,5820,123874,1416645,5748997
LU,628,LAMu,Lambeth North,Station entry/exit,Gateline,3892,4703,4621,4531,2923,3785,4324,4281,4129,2703,57944,662652,2689160
LU,629,LANu,Lancaster Gate,Station entry/exit,Gateline,4122,4916,5557,5767,4258,4109,4969,5455,5506,3923,68353,781694,3172252
LU,630,LATu,Latimer Road,Station entry/exit,Gateline,3326,3730,3169,2193,1640,3268,3563,2941,2059,1586,42061,481013,1952034
